method,data_error,sample_error,recovery_correlation,max_error,mean_true_corr,mean_sample_corr,framework,fit_time,vine_type,dimension,n_samples,correlation_type,ground_truth_entropy,estimated_entropy,entropy_error,sample_correlation
TENSORFLOW Parametric c-vine,0.16604731822123123,0.17018946853603012,0.999997280974502,0.26951330465908596,0.63,0.37471579719595477,tensorflow,2.378180742263794,c-vine,3,300,ar1,3.583471046350253,,,"[[1.         0.43093905 0.26272165]
 [0.43093905 1.         0.4304867 ]
 [0.26272165 0.4304867  1.        ]]"
TENSORFLOW Non-parametric c-vine,0.16604731822123123,0.1554322450122011,0.9864313276931228,0.2789431493350553,0.63,0.39685163248169836,tensorflow,5.805546998977661,c-vine,3,300,ar1,3.583471046350253,,,"[[1.         0.44066438 0.32883367]
 [0.44066438 1.         0.42105685]
 [0.32883367 0.42105685 1.        ]]"
TENSORFLOW Parametric d-vine,0.16604731822123123,0.16782177234801138,0.9962031901918719,0.2812838682649963,0.63,0.3782673414779829,tensorflow,0.5213792324066162,d-vine,3,300,ar1,3.583471046350253,,,"[[1.         0.43314522 0.28294067]
 [0.43314522 1.         0.41871613]
 [0.28294067 0.41871613 1.        ]]"
TENSORFLOW Non-parametric d-vine,0.16604731822123123,0.18600096027325563,0.9764939847489208,0.3136117678080933,0.63,0.35099855959011655,tensorflow,6.693387269973755,d-vine,3,300,ar1,3.583471046350253,,,"[[1.         0.38638823 0.23640933]
 [0.38638823 1.         0.43019812]
 [0.23640933 0.43019812 1.        ]]"
TENSORFLOW Parametric c-vine,0.06976340889384365,0.06371832215176067,0.9997603733731952,0.2611689826384915,0.19999999999999998,0.12146482813531334,tensorflow,0.6312329769134521,c-vine,3,300,block,4.033672048299809,,,"[[ 1.         -0.01722666 -0.00833681]
 [-0.01722666  1.          0.33883102]
 [-0.00833681  0.33883102  1.        ]]"
TENSORFLOW Non-parametric c-vine,0.06976340889384365,0.08359805758059419,0.9997766024382615,0.2688804363918751,0.19999999999999998,0.14614346210964121,tensorflow,4.749904155731201,c-vine,3,300,block,4.033672048299809,,,"[[1.         0.05704208 0.05026874]
 [0.05704208 1.         0.33111956]
 [0.05026874 0.33111956 1.        ]]"
TENSORFLOW Parametric d-vine,0.06976340889384365,0.06833450503644083,0.9991489368980133,0.29321228880124506,0.19999999999999998,0.10702689835383117,tensorflow,1.1699793338775635,d-vine,3,300,block,4.033672048299809,,,"[[ 1.00000000e+00 -1.92387854e-04  1.41005960e-02]
 [-1.92387854e-04  1.00000000e+00  3.06787711e-01]
 [ 1.41005960e-02  3.06787711e-01  1.00000000e+00]]"
TENSORFLOW Non-parametric d-vine,0.06976340889384365,0.06769508269473384,0.9994526734823145,0.23195190380761527,0.19999999999999998,0.14690802150369056,tensorflow,6.579514980316162,d-vine,3,300,block,4.033672048299809,,,"[[ 1.         -0.02861025 -0.04406572]
 [-0.02861025  1.          0.3680481 ]
 [-0.04406572  0.3680481   1.        ]]"
TENSORFLOW Parametric c-vine,0.1458627819548872,0.12811529232388738,0.9898885946196316,0.2304834889088112,0.45599999999999996,0.28517961023481675,tensorflow,2.109862804412842,c-vine,4,400,toeplitz,5.0063234788760616,,,"[[1.         0.39986212 0.23427135 0.10005772]
 [0.39986212 1.         0.41023812 0.19713184]
 [0.23427135 0.41023812 1.         0.36951651]
 [0.10005772 0.19713184 0.36951651 1.        ]]"
TENSORFLOW Non-parametric c-vine,0.1458627819548872,0.15166529311124793,0.9816210650451556,0.25689779559118237,0.45599999999999996,0.25377960918500275,tensorflow,7.040758848190308,c-vine,4,400,toeplitz,5.0063234788760616,,,"[[1.         0.39207026 0.20355845 0.07935356]
 [0.39207026 1.         0.3431022  0.14693387]
 [0.20355845 0.3431022  1.         0.35765932]
 [0.07935356 0.14693387 0.35765932 1.        ]]"
TENSORFLOW Parametric d-vine,0.1458627819548872,0.12776609782177606,0.9820477961018115,0.25366979830227243,0.45599999999999996,0.28564520290429857,tensorflow,1.6888165473937988,d-vine,4,400,toeplitz,5.0063234788760616,,,"[[1.         0.40433838 0.20824382 0.13268349]
 [0.40433838 1.         0.3463302  0.22456472]
 [0.20824382 0.3463302  1.         0.3977106 ]
 [0.13268349 0.22456472 0.3977106  1.        ]]"
TENSORFLOW Non-parametric d-vine,0.1458627819548872,0.1715552774013158,0.9798921964408691,0.27627277609882406,0.45599999999999996,0.22725963013157893,tensorflow,7.406000852584839,d-vine,4,400,toeplitz,5.0063234788760616,,,"[[1.         0.4057332  0.13911357 0.03148009]
 [0.4057332  1.         0.32372722 0.12052539]
 [0.13911357 0.32372722 1.         0.3429783 ]
 [0.03148009 0.12052539 0.3429783  1.        ]]"
