method,data_error,sample_error,recovery_correlation,max_error,mean_true_corr,mean_sample_corr,fit_time,sample_correlation,vine_type,dimension,n_samples,correlation_type
Parametric c-vine,0.15433583959899744,0.14224393020682838,0.9999969837971441,0.22990226830710353,0.63,0.4166341046897574,2.4143683910369873,"[[1.         0.47055455 0.30925003]
 [0.47055455 1.         0.47009773]
 [0.30925003 0.47009773 1.        ]]",c-vine,3,400,ar1
Non-parametric c-vine,0.15433583959899744,0.14327695114069117,0.9985651896645465,0.24339068269673347,0.63,0.4150845732889632,4.837197542190552,"[[1.         0.45660932 0.32353125]
 [0.45660932 1.         0.46511315]
 [0.32353125 0.46511315 1.        ]]",c-vine,3,400,ar1
Parametric d-vine,0.15433583959899744,0.1581944619328792,0.9985609314903805,0.2590710830480792,0.63,0.39270830710068116,0.7317512035369873,"[[1.         0.45082017 0.28637583]
 [0.45082017 1.         0.44092892]
 [0.28637583 0.44092892 1.        ]]",d-vine,3,400,ar1
Non-parametric d-vine,0.15433583959899744,0.15551051922727,0.999998047384767,0.24936818176785114,0.63,0.39673422115909496,1.91058349609375,"[[1.         0.45063182 0.2885688 ]
 [0.45063182 1.         0.45100205]
 [0.2885688  0.45100205 1.        ]]",d-vine,3,400,ar1
Parametric c-vine,0.059994430520746295,0.06133858782377513,0.9998233720866276,0.2294432841303673,0.19999999999999998,0.13904569231541783,0.4076082706451416,"[[1.         0.01952137 0.02705899]
 [0.01952137 1.         0.37055672]
 [0.02705899 0.37055672 1.        ]]",c-vine,3,400,block
Non-parametric c-vine,0.059994430520746295,0.05788503399482714,0.9999922520470677,0.22636420525657064,0.19999999999999998,0.1359180808211936,3.1350367069244385,"[[1.         0.01624882 0.01786963]
 [0.01624882 1.         0.37363579]
 [0.01786963 0.37363579 1.        ]]",c-vine,3,400,block
Parametric d-vine,0.059994430520746295,0.06295314862844428,0.999028635790524,0.26061374072033494,0.19999999999999998,0.12068722912910979,1.0089213848114014,"[[ 1.         -0.02026928 -0.00240615]
 [-0.02026928  1.          0.33938626]
 [-0.00240615  0.33938626  1.        ]]",d-vine,3,400,block
Non-parametric d-vine,0.059994430520746295,0.07146554100746179,0.9993229555962189,0.2603081679006762,0.19999999999999998,0.1336595329107419,2.857949733734131,"[[1.         0.03721255 0.02407422]
 [0.03721255 1.         0.33969183]
 [0.02407422 0.33969183 1.        ]]",d-vine,3,400,block
Parametric c-vine,0.14408216432865734,0.13940563975888476,0.9866764750869689,0.2562103507667112,0.45599999999999996,0.2701258136548203,2.332969903945923,"[[1.         0.34378965 0.18505748 0.1126735 ]
 [0.34378965 1.         0.37640665 0.20746473]
 [0.18505748 0.37640665 1.         0.39536288]
 [0.1126735  0.20746473 0.39536288 1.        ]]",c-vine,4,500,toeplitz
Non-parametric c-vine,0.14408216432865734,0.157264321837848,0.9891681731837917,0.26984513381593117,0.45599999999999996,0.24631423754953596,7.849797010421753,"[[1.         0.34463079 0.20334857 0.06574165]
 [0.34463079 1.         0.36693482 0.16707473]
 [0.20334857 0.36693482 1.         0.33015487]
 [0.06574165 0.16707473 0.33015487 1.        ]]",c-vine,4,500,toeplitz
Parametric d-vine,0.14408216432865734,0.15036096178986458,0.9904179395316259,0.25943573039965706,0.45599999999999996,0.25551871761351386,2.077056646347046,"[[1.         0.36217629 0.17841163 0.08417449]
 [0.36217629 1.         0.39206882 0.1757168 ]
 [0.17841163 0.39206882 1.         0.34056427]
 [0.08417449 0.1757168  0.34056427 1.        ]]",d-vine,4,500,toeplitz
Non-parametric d-vine,0.14408216432865734,0.15930907407822828,0.9921482022564023,0.2507936507919414,0.45599999999999996,0.24358790122902896,6.471901178359985,"[[1.         0.36313374 0.13850147 0.05276291]
 [0.36313374 1.         0.34920635 0.1698566 ]
 [0.13850147 0.34920635 1.         0.38806633]
 [0.05276291 0.1698566  0.38806633 1.        ]]",d-vine,4,500,toeplitz
Parametric c-vine,0.1378463696614793,0.3000722173038297,0.7989588868075782,0.6358512285149334,0.5106479755561322,0.17003465296495826,2.735288381576538,"[[ 1.          0.40485357 -0.14549772 -0.03313866]
 [ 0.40485357  1.         -0.08359825 -0.13956326]
 [-0.14549772 -0.08359825  1.         -0.21355645]
 [-0.03313866 -0.13956326 -0.21355645  1.        ]]",c-vine,4,500,random
Non-parametric c-vine,0.1378463696614793,0.14089373232359034,0.9975667180203495,0.28036078936877873,0.5106479755561322,0.32365498278336174,6.624144554138184,"[[ 1.          0.40014018 -0.53981783 -0.20220718]
 [ 0.40014018  1.         -0.39328659 -0.36877462]
 [-0.53981783 -0.39328659  1.         -0.0377035 ]
 [-0.20220718 -0.36877462 -0.0377035   1.        ]]",c-vine,4,500,random
Parametric d-vine,0.1378463696614793,0.23434052978556952,0.954520863581046,0.5401870034141428,0.5106479755561322,0.19930783517810224,2.1410412788391113,"[[ 1.          0.4339174  -0.25273625 -0.15491865]
 [ 0.4339174   1.         -0.09628971 -0.2546433 ]
 [-0.25273625 -0.09628971  1.          0.0033417 ]
 [-0.15491865 -0.2546433   0.0033417   1.        ]]",d-vine,4,500,random
Non-parametric d-vine,0.1378463696614793,0.15295697811077086,0.98761145457212,0.26738665308515025,0.5106479755561322,0.3269292389075097,7.469590902328491,"[[ 1.          0.42953066 -0.55218797 -0.15038173]
 [ 0.42953066  1.         -0.36909006 -0.36460576]
 [-0.55218797 -0.36909006  1.         -0.09577925]
 [-0.15038173 -0.36460576 -0.09577925  1.        ]]",d-vine,4,500,random
